Membership No  Date Joined  Active  
    14381      2016-7-21    yes   
    89320      2018-9-16    yes   
    17482      2017-8-7     yes   
    21377      2015-4-11    yes   
    29238      2019-7-19    yes   
    39624      2019-8-13    yes   
    82508      2018-8-6     yes   
    48743      2018-10-16   yes   
    90411      2018-2-8     yes   
    41934      2020-12-2    yes   
    36874      2018-2-6     yes   
    63606      2017-7-19    yes   
    31955      2020-10-8    yes   
    55167      2018-11-7    yes   
    88121      2016-11-10   yes   
