Membership No  Date Joined  Active  
    59866      2015-3-17    no    
    40398      2019-4-10    no    
    91000      2016-12-18   no    
    89903      2015-6-8     no    
    60131      2020-10-24   no    
    22265      2020-6-25    no    
    44941      2017-3-3     no    
    18755      2015-9-18    no    
    22763      2016-3-25    no    
    83815      2015-2-7     no    
    41225      2020-6-23    no    
    63455      2015-10-23   no    
    24985      2020-4-23    no    
    61829      2020-3-25    no    
